id,name,actMin,actMax,difficultyTier,difficulty,primaryPurpose,maxHP,actionsPerTurn,handSize,notes
E_DIRECTOR_PULSE_MAINFRAME,Director: Pulse Mainframe,1,1,Boss,75.8,Boss,181,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_ADMINISTRATOR_CIPHER_MAINFRAME,Administrator: Cipher Mainframe,1,2,Boss,91.5,Boss,209,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_DIRECTOR_GHOST_ORACLE,Director: Ghost Oracle,1,1,Boss,69.3,Boss,170,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_OVERSEER_ROGUE_APEX,Overseer: Rogue Apex,1,3,Boss,107.6,Boss,236,3,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_LEVIATHAN_PULSE_CORE,Leviathan: Pulse Core,1,3,Boss,90.0,Boss,206,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_LEVIATHAN_NEON_APEX,Leviathan: Neon Apex,1,3,Boss,91.1,Boss,207,3,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_LEVIATHAN_CHROME_ORACLE,Leviathan: Chrome Oracle,1,2,Boss,94.3,Boss,214,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_ARCHON_PULSE_HYDRA,Archon: Pulse Hydra,1,3,Boss,101.3,Boss,226,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_LEVIATHAN_GHOST_GOLIATH,Leviathan: Ghost Goliath,1,3,Boss,99.3,Boss,223,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_OVERSEER_STATIC_WARDEN,Overseer: Static Warden,1,1,Boss,58.5,Boss,151,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_ARCHON_HOLO_ORACLE,Archon: Holo Oracle,1,3,Boss,89.8,Boss,206,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_ADMINISTRATOR_PULSE_CITADEL,Administrator: Pulse Citadel,1,3,Boss,87.3,Boss,200,3,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_LEVIATHAN_VANTA_CORE,Leviathan: Vanta Core,1,3,Boss,93.8,Boss,212,3,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_ARCHON_KILO_MAINFRAME,Archon: Kilo Mainframe,1,1,Boss,61.0,Boss,155,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
